"Pathways"	"Reactions of pathway"
PWY-5901	DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN
COA-PWY	P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN
PWY0-42	4.2.1.99-RXN // METHYLISOCITRATE-LYASE-RXN // 2-METHYLCITRATE-DEHYDRATASE-RXN // 2-METHYLCITRATE-SYNTHASE-RXN // PROPIONATE--COA-LIGASE-RXN
PWY0-1280	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN
GLYCOL-GLYOXDEG-PWY	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN // MALSYN-RXN // RXN0-5289 // GLYCOLATEDEHYDRO-RXN // GLYOCARBOLIG-RXN // GLY3KIN-RXN
ACETOACETATE-DEG-PWY	ACETOACETYL-COA-TRANSFER-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5194	RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // SIROHEME-FERROCHELAT-RXN // DIMETHUROPORDEHYDROG-RXN
PWY-5852	DMK-RXN
PWY0-1545	RXN0-7012 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN
PWY-5084	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN
PWY-5668	PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN
ANARESP1-PWY	MALATE-DEH-RXN // R601-RXN // FHLMULTI-RXN // 2PGADEHYDRAT-RXN // PYRUVFORMLY-RXN // FUMHYDR-RXN // PEPCARBOX-RXN // ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // PYRUVDEH-RXN // PEPDEPHOS-RXN
PWY0-1321	RXN0-3501 // FORMATEDEHYDROG-RXN
PWY0-1324	NANK-RXN // ACNEULY-RXN // NANE-RXN
PWY0-1336	R601-RXN // RXN0-5388
PWY0-1347	RXN0-5264 // RXN0-5388
PWY-6430	RXN-11210 // RXN-11211 // RXN-11209
PWY0-1348	DIMESULFREDUCT-RXN // RXN0-5388
PWY-7446	RXN-15296 // RXN-15297 // RXN-15299 // RXN-15298
PWY0-1352	RXN0-3501 // RXN0-5388
PWY0-1355	RXN0-5264 // FORMATEDEHYDROG-RXN
PWY0-1356	DIMESULFREDUCT-RXN // FORMATEDEHYDROG-RXN
PWY0-1479	RXN0-6485 // RXN0-6481 // RXN0-6483 // 3.1.26.5-RXN // RXN0-6484 // RXN0-6482 // RXN0-6480 // RXN0-4222 // RXN0-6479 // RXN0-6478
PROSYN-PWY	GLUTKIN-RXN // GLUTSEMIALDEHYDROG-RXN // PYRROLINECARBREDUCT-RXN // SPONTPRO-RXN
GLUCARDEG-PWY	GKI-RXN // GLUCARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
ENTNER-DOUDOROFF-PWY	PGLUCONDEHYDRAT-RXN // KDPGALDOL-RXN
GLYOXDEG-PWY	GLYCOLATEDEHYDRO-RXN // MALSYN-RXN
2PHENDEG-PWY	PHENDEHYD-RXN // AMINEPHEN-RXN
GLYCOLATEMET-PWY	RXN0-5289 // GLYCOLATEDEHYDRO-RXN // GLYOCARBOLIG-RXN // GLY3KIN-RXN
PWY0-1477	ETHAMLY-RXN
ORNDEG-PWY	RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942 // PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // ORNDECARBOX-RXN
GLCMANNANAUT-PWY	NANK-RXN // ACNEULY-RXN // NANE-RXN // NAG6PDEACET-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN
PWY-6537	SUCCSEMIALDDEHYDROG-RXN // GABATRANSAM-RXN
PWY-7222	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN
PWY-6535	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
4AMINOBUTMETAB-PWY	SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
GALACTARDEG-PWY	GKI-RXN // GALACTARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
PWY-901	DLACTDEHYDROGFAD-RXN // GLYOXIII-RXN
PWY-6690	RXN-13463 // RXN-10040 // RXN-12071 // RXN-12070 // RXN-12073 // RXN-12072
METHGLYUT-PWY	L-LACTDEHYDROGFMN-RXN // LACTALDDEHYDROG-RXN // RXN-8632 // RXN0-4281 // GLYOXIII-RXN // DLACTDEHYDROGFAD-RXN // GLYOXII-RXN // GLYOXI-RXN
ASPASN-PWY	ASPARAGHYD-RXN // ASNSYNA-RXN // ASPARTASE-RXN // ASPAMINOTRANS-RXN
HCAMHPDEG-PWY	RXN-13463 // HCAMULTI-RXN // PHENPRODIOLDEHYDROG-RXN // MHPHYDROXY-RXN // 1.13.11.16-RXN // MHPCHYDROL-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN // RXN-8991 // RXN-7800 // 2-ISOPROPYLMALATESYN-RXN // 3-ISOPROPYLMALISOM-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 3-ISOPROPYLMALDEHYDROG-RXN
COMPLETE-ARO-PWY	TYROSINE-AMINOTRANSFERASE-RXN // PREPHENATEDEHYDROG-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // PHEAMINOTRANS-RXN // RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
P4-PWY	RXN-15131 // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // RXN-14014 // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
SER-GLYSYN-PWY	GLYOHMETRANS-RXN // RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
GLUTORN-PWY	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN
PWY-6012	HOLO-ACP-SYNTH-RXN // 3.1.4.14-RXN
SAM-PWY	S-ADENMETSYN-RXN
PWY-5964	RXN0-262
PWY0-1433	H2NTPEPIM-RXN // RXN0-6368 // RXN0-6367
GLUT-REDOX-PWY	GLUTATHIONE-REDUCT-NADPH-RXN // PRODISULFREDUCT-A-RXN
P2-PWY	CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN // CITC-RXN // 2.3.1.49-RXN // 2.7.8.25-RXN // 2.7.7.61-RXN
PWY-6628	CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // PHEAMINOTRANS-RXN // RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
GLYSYN-PWY	GLYOHMETRANS-RXN
THIOREDOX-PWY	THIOREDOXIN-RXN // THIOREDOXIN-REDUCT-NADPH-RXN
PWY-6476	RXN0-6254
PHESYN	CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // PHEAMINOTRANS-RXN
GLUTATHIONESYN-PWY	GLUTATHIONE-SYN-RXN // GLUTCYSLIG-RXN
